Entry Date,Market Question,Entry Price,24h Ago Price,24h Change %,Trend Filter,Outcome,P&L %,Exit Reason,Notes
2026-01-06 14:17,Nvidia Stock Split,0.72,0.76,-5.3%,FAIL,Loss,-8.1%,Time Decay,Rumor fade - AVOIDED
2026-01-09 09:33,Microsoft AI Revenue,0.48,0.43,11.6%,PASS,Win,20.3%,TP2,Enterprise AI adoption
2026-01-12 16:22,Iran Retaliation Market,0.12,0.13,-7.7%,FAIL,Loss,-33.1%,Stop Loss,CASE STUDY - falling knife - AVOIDED
2026-01-15 11:55,Tesla Model 2 Announcement,0.39,0.35,11.4%,PASS,Win,17.8%,TP2,Product launch speculation
2026-01-18 13:28,Ukraine Peace Deal Q1,0.15,0.19,-21.1%,FAIL,Loss,-12.7%,Time Decay,False hope spike - AVOIDED
2026-01-21 10:15,NFP Jobs Miss,0.49,0.53,-7.5%,FAIL,Win,5.8%,TP1,Bottom fishing worked - small win
2026-01-24 15:44,Amazon Earnings Beat,0.58,0.53,9.4%,PASS,Win,23.1%,TP3,E-commerce strength
2026-01-27 09:22,SpaceX Starship Success,0.44,0.49,-10.2%,FAIL,Loss,-9.7%,Event Result,Launch delay - AVOIDED
2026-01-30 14:05,Meta Layoffs Announcement,0.36,0.31,16.1%,PASS,Win,14.9%,TP2,Cost cutting optimism
2026-02-02 11:18,Super Bowl Winner,0.67,0.62,8.1%,PASS,Win,18.2%,Event Result,Sharp money consensus
2026-02-05 16:33,Biden Approval Rating,0.31,0.35,-11.4%,FAIL,Win,9.3%,TP1,Political reversal - lucky
2026-02-05 09:45,Powell Speech Dovish,0.52,0.47,10.6%,PASS,Win,12.7%,TP1,Fed pivot speculation
2025-10-10 12:15,GameStop Meme Rally,0.29,0.26,11.5%,PASS,Win,16.4%,TP2,Social media momentum
2025-10-19 14:33,Presidential Debate Winner,0.54,0.49,10.2%,PASS,Win,11.2%,Event Result,Post-debate polling
2025-11-01 10:28,Earnings Season Beat Rate,0.61,0.56,8.9%,PASS,Win,13.8%,TP2,Corporate strength theme
2025-11-16 15:42,Holiday Shipping Crisis,0.41,0.45,-8.9%,FAIL,Loss,-14.2%,Time Decay,Supply chain fears - AVOIDED
2025-11-28 13:19,Cyber Monday Record,0.58,0.53,9.4%,PASS,Win,10.3%,TP1,E-commerce strength
2025-12-09 11:07,Federal Budget Deal,0.46,0.42,9.5%,PASS,Win,8.9%,TP1,Political resolution
2025-12-21 16:44,Year-End Rally Continuation,0.71,0.66,7.6%,PASS,Win,14.6%,TP2,Santa rally momentum
2026-01-07 09:52,Inflation Data Surprise,0.39,0.35,11.4%,PASS,Win,22.4%,TP2,Economic data beat
2026-01-20 14:25,China Economic Stimulus,0.44,0.39,12.8%,PASS,Win,19.1%,TP2,Global growth optimism
2026-01-28 10:38,Tech Sector Rotation,0.49,0.44,11.4%,PASS,Win,15.7%,TP2,Risk-on momentum
